id,name,length,width,weight,price,unit,available,image
C-1,Стремянка для колодцев ТПР 901-09-11.84 120 см (С-1),120,50,13.0,2340,1 шт,✅,images/vl-mini.png
C-2,Стремянка для колодцев ТПР 901-09-11.84 150 см (С-2),150,50,16.3,2934,1 шт,✅,images/vl-mini.png
C-3,Стремянка для колодцев ТПР 901-09-11.84 180 см (С-3),180,50,19.6,3528,1 шт,✅,images/vl-mini.png
C-4,Стремянка для колодцев ТПР 901-09-11.84 225 см (С-4),225,50,23.7,4266,1 шт,✅,images/vl-mini.png
C-5,Стремянка для колодцев ТПР 901-09-11.84 240 см (С-5),240,50,26.7,4806,1 шт,✅,images/vl-mini.png
C-6,Стремянка для колодцев ТПР 901-09-11.84 210 см (С-6),210,50,23.5,4230,1 шт,✅,images/vl-mini.png
C-7,Стремянка для колодцев ТПР 901-09-11.84 270 см (С-7),270,50,30.0,5400,1 шт,✅,images/vl-mini.png
C-8,Стремянка для колодцев ТПР 901-09-11.84 420 см (С-8),420,50,46.0,8280,1 шт,✅,images/vl-mini.png
C-9,Стремянка для колодцев ТПР 901-09-11.84 450 см (С-9),450,50,49.36,8885,1 шт,✅,images/vl-mini.png
