id,name,length,width,weight,price,unit,available,image
TS-63-5.7,Лестница тепловых сетей Л-16 (63 ТС-5.7),570,63,78.7,14955,1 шт,✅,images/tl/tl-mini.png
TS-63-5.8,Лестница тепловых сетей Л-16 (63 ТС-5.8),580,63,80.1,15220,1 шт,✅,images/tl/tl-mini.png
TS-63-5.9,Лестница тепловых сетей Л-16 (63 ТС-5.9),590,63,81.5,15485,1 шт,✅,images/tl/tl-mini.png
TS-63-6,Лестница тепловых сетей Л-16 (63 ТС-6),600,63,82.9,15750,1 шт,✅,images/tl/tl-mini.png
TS-63-6.1,Лестница тепловых сетей Л-16 (63 ТС-6.1),610,63,84.2,16000,1 шт,✅,images/tl/tl-mini.png
TS-63-6.2,Лестница тепловых сетей Л-16 (63 ТС-6.2),620,63,85.6,16265,1 шт,✅,images/tl/tl-mini.png
TS-63-6.3,Лестница тепловых сетей Л-16 (63 ТС-6.3),630,63,87.0,16530,1 шт,✅,images/tl/tl-mini.png
TS-63-6.4,Лестница тепловых сетей Л-16 (63 ТС-6.4),640,63,88.4,16795,1 шт,✅,images/tl/tl-mini.png
TS-63-6.5,Лестница тепловых сетей Л-16 (63 ТС-6.5),650,63,89.8,17060,1 шт,✅,images/tl/tl-mini.png
TS-63-6.6,Лестница тепловых сетей Л-16 (63 ТС-6.6),660,63,91.1,17310,1 шт,✅,images/tl/tl-mini.png
TS-63-6.7,Лестница тепловых сетей Л-16 (63 ТС-6.7),670,63,92.5,17575,1 шт,✅,images/tl/tl-mini.png
TS-63-6.8,Лестница тепловых сетей Л-16 (63 ТС-6.8),680,63,93.9,17840,1 шт,✅,images/tl/tl-mini.png
TS-63-6.9,Лестница тепловых сетей Л-16 (63 ТС-6.9),690,63,95.3,18105,1 шт,✅,images/tl/tl-mini.png
TS-63-7,Лестница тепловых сетей Л-16 (63 ТС-7),700,63,96.7,18375,1 шт,✅,images/tl/tl-mini.png
TS-63-7.1,Лестница тепловых сетей Л-16 (63 ТС-7.1),710,63,98.1,18640,1 шт,✅,images/tl/tl-mini.png
TS-63-7.2,Лестница тепловых сетей Л-16 (63 ТС-7.2),720,63,99.4,18885,1 шт,✅,images/tl/tl-mini.png
TS-63-7.3,Лестница тепловых сетей Л-16 (63 ТС-7.3),730,63,100.8,19150,1 шт,✅,images/tl/tl-mini.png
TS-63-7.4,Лестница тепловых сетей Л-16 (63 ТС-7.4),740,63,102.2,19420,1 шт,✅,images/tl/tl-mini.png
TS-63-7.5,Лестница тепловых сетей Л-16 (63 ТС-7.5),750,63,103.6,19685,1 шт,✅,images/tl/tl-mini.png
TS-63-7.6,Лестница тепловых сетей Л-16 (63 ТС-7.6),760,63,105.0,19950,1 шт,✅,images/tl/tl-mini.png
TS-63-7.7,Лестница тепловых сетей Л-16 (63 ТС-7.7),770,63,106.3,20200,1 шт,✅,images/tl/tl-mini.png
TS-63-7.8,Лестница тепловых сетей Л-16 (63 ТС-7.8),780,63,107.7,20465,1 шт,✅,images/tl/tl-mini.png
TS-63-7.9,Лестница тепловых сетей Л-16 (63 ТС-7.9),790,63,109.1,20730,1 шт,✅,images/tl/tl-mini.png
TS-63-8,Лестница тепловых сетей Л-16 (63 ТС-8),800,63,110.5,20995,1 шт,✅,images/tl/tl-mini.png
TS-63-8.1,Лестница тепловых сетей Л-16 (63 ТС-8.1),810,63,111.9,21260,1 шт,✅,images/tl/tl-mini.png
TS-63-8.2,Лестница тепловых сетей Л-16 (63 ТС-8.2),820,63,113.2,21510,1 шт,✅,images/tl/tl-mini.png
TS-63-8.3,Лестница тепловых сетей Л-16 (63 ТС-8.3),830,63,114.6,21775,1 шт,✅,images/tl/tl-mini.png
TS-63-8.4,Лестница тепловых сетей Л-16 (63 ТС-8.4),840,63,116.0,22040,1 шт,✅,images/tl/tl-mini.png
TS-63-8.5,Лестница тепловых сетей Л-16 (63 ТС-8.5),850,63,117.4,22305,1 шт,✅,images/tl/tl-mini.png
TS-63-8.6,Лестница тепловых сетей Л-16 (63 ТС-8.6),860,63,118.8,22570,1 шт,✅,images/tl/tl-mini.png
TS-63-8.7,Лестница тепловых сетей Л-16 (63 ТС-8.7),870,63,120.1,22820,1 шт,✅,images/tl/tl-mini.png
TS-63-8.8,Лестница тепловых сетей Л-16 (63 ТС-8.8),880,63,121.5,23085,1 шт,✅,images/tl/tl-mini.png
TS-63-8.9,Лестница тепловых сетей Л-16 (63 ТС-8.9),890,63,122.9,23350,1 шт,✅,images/tl/tl-mini.png
TS-63-9,Лестница тепловых сетей Л-16 (63 ТС-9),900,63,124.3,23615,1 шт,✅,images/tl/tl-mini.png
TS-63-9.1,Лестница тепловых сетей Л-16 (63 ТС-9.1),910,63,125.7,23885,1 шт,✅,images/tl/tl-mini.png
TS-63-9.2,Лестница тепловых сетей Л-16 (63 ТС-9.2),920,63,127.1,24150,1 шт,✅,images/tl/tl-mini.png
TS-63-9.3,Лестница тепловых сетей Л-16 (63 ТС-9.3),930,63,128.4,24395,1 шт,✅,images/tl/tl-mini.png
TS-63-9.4,Лестница тепловых сетей Л-16 (63 ТС-9.4),940,63,129.8,24660,1 шт,✅,images/tl/tl-mini.png
TS-63-9.5,Лестница тепловых сетей Л-16 (63 ТС-9.5),950,63,131.2,24930,1 шт,✅,images/tl/tl-mini.png
TS-63-9.6,Лестница тепловых сетей Л-16 (63 ТС-9.6),960,63,132.6,25195,1 шт,✅,images/tl/tl-mini.png
