id,name,length,width,weight,price,unit,available,image
KL-7.6,КЛ-7.6,760,41,152,26850,1 шт,✅,images/kl1/kl1-mini.png
KL-7.7,КЛ-7.7,770,41,154,27225,1 шт,✅,images/kl1/kl1-mini.png
KL-7.8,КЛ-7.8,780,41,156,27570,1 шт,✅,images/kl1/kl1-mini.png
KL-7.9,КЛ-7.9,790,41,158,27920,1 шт,✅,images/kl1/kl1-mini.png
KL-8,КЛ-8,800,41,160,28265,1 шт,✅,images/kl1/kl1-mini.png
KL-8.1,КЛ-8.1,810,41,162,28630,1 шт,✅,images/kl1/kl1-mini.png
KL-8.2,КЛ-8.2,820,41,164,28970,1 шт,✅,images/kl1/kl1-mini.png
KL-8.3,КЛ-8.3,830,41,166,29310,1 шт,✅,images/kl1/kl1-mini.png
KL-8.4,КЛ-8.4,840,41,168,29670,1 шт,✅,images/kl1/kl1-mini.png
KL-8.5,КЛ-8.5,850,41,170,30030,1 шт,✅,images/kl1/kl1-mini.png
KL-8.6,КЛ-8.6,860,41,172,30375,1 шт,✅,images/kl1/kl1-mini.png
KL-8.7,КЛ-8.7,870,41,174,30745,1 шт,✅,images/kl1/kl1-mini.png
KL-8.8,КЛ-8.8,880,41,176,31090,1 шт,✅,images/kl1/kl1-mini.png
KL-8.9,КЛ-8.9,890,41,178,31440,1 шт,✅,images/kl1/kl1-mini.png
KL-9,КЛ-9,900,41,180,31790,1 шт,✅,images/kl1/kl1-mini.png
KL-9.1,КЛ-9.1,910,41,182,32145,1 шт,✅,images/kl1/kl1-mini.png
KL-9.2,КЛ-9.2,920,41,184,32490,1 шт,✅,images/kl1/kl1-mini.png
KL-9.3,КЛ-9.3,930,41,186,32850,1 шт,✅,images/kl1/kl1-mini.png
KL-9.4,КЛ-9.4,940,41,188,33200,1 шт,✅,images/kl1/kl1-mini.png
KL-9.5,КЛ-9.5,950,41,190,33565,1 шт,✅,images/kl1/kl1-mini.png
KL-9.6,КЛ-9.6,960,41,192,33920,1 шт,✅,images/kl1/kl1-mini.png
KL-9.7,КЛ-9.7,970,41,194,34270,1 шт,✅,images/kl1/kl1-mini.png
KL-9.8,КЛ-9.8,980,41,196,34625,1 шт,✅,images/kl1/kl1-mini.png
KL-9.9,КЛ-9.9,990,41,198,34970,1 шт,✅,images/kl1/kl1-mini.png
KL-10,КЛ-10,1000,41,200,35330,1 шт,✅,images/kl1/kl1-mini.png
KL-10.1,КЛ-10.1,1010,41,202,35680,1 шт,✅,images/kl1/kl1-mini.png
KL-10.2,КЛ-10.2,1020,41,204,36030,1 шт,✅,images/kl1/kl1-mini.png
KL-10.3,КЛ-10.3,1030,41,206,36375,1 шт,✅,images/kl1/kl1-mini.png
KL-10.4,КЛ-10.4,1040,41,208,36750,1 шт,✅,images/kl1/kl1-mini.png
KL-10.5,КЛ-10.5,1050,41,210,37090,1 шт,✅,images/kl1/kl1-mini.png
KL-10.6,КЛ-10.6,1060,41,212,37450,1 шт,✅,images/kl1/kl1-mini.png
KL-10.7,КЛ-10.7,1070,41,214,37790,1 шт,✅,images/kl1/kl1-mini.png
KL-10.8,КЛ-10.8,1080,41,216,38145,1 шт,✅,images/kl1/kl1-mini.png
KL-10.9,КЛ-10.9,1090,41,218,38490,1 шт,✅,images/kl1/kl1-mini.png
KL-11,КЛ-11,1100,41,220,38865,1 шт,✅,images/kl1/kl1-mini.png
KL-11.1,КЛ-11.1,1110,41,222,39210,1 шт,✅,images/kl1/kl1-mini.png
KL-11.2,КЛ-11.2,1120,41,224,39545,1 шт,✅,images/kl1/kl1-mini.png
KL-11.3,КЛ-11.3,1130,41,226,39905,1 шт,✅,images/kl1/kl1-mini.png
KL-11.4,КЛ-11.4,1140,41,228,40255,1 шт,✅,images/kl1/kl1-mini.png
KL-11.5,КЛ-11.5,1150,41,230,40615,1 шт,✅,images/kl1/kl1-mini.png
KL-11.6,КЛ-11.6,1160,41,232,40975,1 шт,✅,images/kl1/kl1-mini.png
KL-11.7,КЛ-11.7,1170,41,234,41320,1 шт,✅,images/kl1/kl1-mini.png
