id,name,length,width,weight,price,unit,available,image
Ст.1.КЖ.И.7,Стремянка для прямоугольных колодцев ТМП 902-09-46.88 (Ст.1 - КЖ.И.7),150,50,16.3,2934,1 шт,✅,images/tmp-902/tmp-mini.png
Ст.2.КЖ.И.7,Стремянка для прямоугольных колодцев ТМП 902-09-46.88 (Ст.2 - КЖ.И.7),165,50,17.9,3222,1 шт,✅,images/tmp-902/tmp-mini.png
Ст.3.КЖ.И.7,Стремянка для прямоугольных колодцев ТМП 902-09-46.88 (Ст.3 - КЖ.И.7),170,50,18.5,3330,1 шт,✅,images/tmp-902/tmp-mini.png
Ст.4.КЖ.И.7,Стремянка для прямоугольных колодцев ТМП 902-09-46.88 (Ст.4 - КЖ.И.7),180,50,19.6,3528,1 шт,✅,images/tmp-902/tmp-mini.png
Ст.5.КЖ.И.7,Стремянка для прямоугольных колодцев ТМП 902-09-46.88 (Ст.5 - КЖ.И.7),190,50,20.7,3726,1 шт,✅,images/tmp-902/tmp-mini.png
