id,name,length,width,weight,price,unit,available,image
Ст.1.КЖ.И.15,Стремянка для перепадных камер ТМП 902-09-46.88 (Перепадные камеры КЖ.И.15),150,50,16.3,2934,1 шт,✅,images/tmp-902/tmp-mini.png
Ст.2.КЖ.И.15,Стремянка для перепадных камер ТМП 902-09-46.88 (Перепадные камеры КЖ.И.15),180,50,19.6,3528,1 шт,✅,images/tmp-902/tmp-mini.png
Ст.3.КЖ.И.15,Стремянка для перепадных камер ТМП 902-09-46.88 (Перепадные камеры КЖ.И.15),210,50,22.8,4104,1 шт,✅,images/tmp-902/tmp-mini.png
Ст.4.КЖ.И.15,Стремянка для перепадных камер ТМП 902-09-46.88 (Перепадные камеры КЖ.И.15),240,50,26.1,4698,1 шт,✅,images/tmp-902/tmp-mini.png
Ст.5.КЖ.И.15,Стремянка для перепадных камер ТМП 902-09-46.88 (Перепадные камеры КЖ.И.15),270,50,29.3,5274,1 шт,✅,images/tmp-902/tmp-mini.png
